team,season,game_date,points,is_home,goals_for,goals_against,cum_points,games_played,elimination_date,clinch_date,trade_deadline
ANA,20232024,2024-03-30,0,FALSE,1,6,52,74,2024-02-25,NA,2024-03-08
ANA,20232024,2024-03-31,0,FALSE,2,3,52,75,2024-02-25,NA,2024-03-08
ANA,20232024,2024-04-02,2,FALSE,5,3,54,76,2024-02-25,NA,2024-03-08
ANA,20232024,2024-04-05,0,TRUE,1,3,54,77,2024-02-25,NA,2024-03-08
ANA,20232024,2024-04-07,1,TRUE,5,6,55,78,2024-02-25,NA,2024-03-08
ANA,20232024,2024-04-09,2,TRUE,3,1,57,79,2024-02-25,NA,2024-03-08
ANA,20232024,2024-04-12,0,TRUE,3,6,57,80,2024-02-25,NA,2024-03-08
ANA,20232024,2024-04-13,0,FALSE,1,3,57,81,2024-02-25,NA,2024-03-08
ANA,20232024,2024-04-18,2,FALSE,4,1,59,82,2024-02-25,NA,2024-03-08
ARI,20212022,2021-10-14,0,FALSE,2,8,0,1,2022-02-11,NA,2022-03-21
ARI,20212022,2021-10-16,1,FALSE,1,2,1,2,2022-02-11,NA,2022-03-21
ARI,20212022,2021-10-18,0,TRUE,4,7,1,3,2022-02-11,NA,2022-03-21
ARI,20212022,2021-10-21,0,TRUE,1,5,1,4,2022-02-11,NA,2022-03-21
ARI,20212022,2021-10-23,0,TRUE,0,3,1,5,2022-02-11,NA,2022-03-21
ARI,20212022,2021-10-25,0,FALSE,3,5,1,6,2022-02-11,NA,2022-03-21
ARI,20212022,2021-10-28,0,FALSE,1,5,1,7,2022-02-11,NA,2022-03-21
ARI,20212022,2021-10-29,0,FALSE,0,2,1,8,2022-02-11,NA,2022-03-21
ARI,20212022,2021-10-31,0,FALSE,1,2,1,9,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-02,0,FALSE,0,3,1,10,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-05,0,FALSE,1,3,1,11,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-06,2,TRUE,5,4,3,12,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-10,0,TRUE,2,5,3,13,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-12,0,FALSE,1,2,3,14,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-13,0,FALSE,1,4,3,15,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-16,2,FALSE,3,2,5,16,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-18,1,TRUE,4,5,6,17,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-20,2,TRUE,2,1,8,18,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-21,2,FALSE,2,1,10,19,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-24,0,TRUE,3,5,10,20,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-27,0,TRUE,2,3,10,21,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-29,2,FALSE,1,0,12,22,2022-02-11,NA,2022-03-21
ARI,20212022,2021-11-30,0,FALSE,2,5,12,23,2022-02-11,NA,2022-03-21
ARI,20212022,2021-12-03,0,TRUE,1,7,12,24,2022-02-11,NA,2022-03-21
ARI,20212022,2021-12-06,0,FALSE,1,4,12,25,2022-02-11,NA,2022-03-21
ARI,20212022,2021-12-10,0,TRUE,1,3,12,26,2022-02-11,NA,2022-03-21
ARI,20212022,2021-12-11,0,TRUE,3,5,12,27,2022-02-11,NA,2022-03-21
ARI,20212022,2021-12-15,0,TRUE,2,3,12,28,2022-02-11,NA,2022-03-21
ARI,20212022,2021-12-17,2,FALSE,6,5,14,29,2022-02-11,NA,2022-03-21
ARI,20212022,2021-12-28,1,FALSE,7,8,15,30,2022-02-11,NA,2022-03-21
ARI,20212022,2022-01-04,0,TRUE,1,3,15,31,2022-02-11,NA,2022-03-21
